"PERIODE";"IAS_brut";"IAS_lissé";"Incidence_Sentinelles"
2010-03-22;2,9;2,5;1,6
2010-03-23;1,2;2,5;1,6
2010-03-24;4,5;2,4;1,6
2010-03-25;2;2,3;1,6
2010-03-26;1,7;2,2;1,6
2010-03-27;2,9;2,2;1,6
2010-03-28;0,1;2;1,6
2010-03-29;2,3;1,9;1,6
2010-03-30;1,4;1,8;1,6
2010-03-31;1,9;1,7;1,6
2010-04-01;3,3;1,6;1,6
2010-04-02;0,6;1,6;1,6
2010-04-03;1,1;1,5;1,6
2010-04-04;11;1,4;1,6
2010-04-05;19,4;1,3;1,4
2010-04-06;1,4;1,3;1,4
2010-04-07;1,4;1,3;1,4
2010-04-08;1,5;1,4;1,4
2010-04-09;0,6;1,4;1,4
2010-04-10;2,3;1,4;1,4
2010-04-11;1,6;1,4;1,4
2010-04-12;2,4;1,5;0,9
2010-04-13;1,8;1,5;0,9
2010-04-14;0,5;1,4;0,9
2010-04-15;1,6;1,4;0,9
2010-04-16;2,2;1,3;0,9
2010-04-17;2;1,2;0,9
2010-04-18;68,5;1,2;0,9
2010-04-19;0,3;1,2;0,9
2010-04-20;0,6;1,2;0,9
2010-04-21;2,3;1,2;0,9
2010-04-22;1,9;1,2;0,9
2010-04-23;1,8;1,2;0,9
2010-04-24;0,4;1,2;0,9
2010-04-25;8,5;1,2;0,9
2010-04-26;1,5;1,1;0,6
2010-04-27;1,1;1;0,6
2010-04-28;0,7;1;0,6
2010-04-29;1,2;0,9;0,6
2010-04-30;0,7;0,9;0,6
2010-05-01;3,7;0,9;0,6
2010-05-02;0,6;0,9;0,6
2010-05-03;0,8;0,9;1
2010-05-04;0,7;0,9;1
2010-05-05;1,3;0,9;1
2010-05-06;1,1;1;1
2010-05-07;0,7;1;1
2010-05-08;11,9;1;1
2010-05-09;0,9;1,1;1
2010-05-10;1,9;1,1;0,6
2010-05-11;0,4;1,1;0,6
2010-05-12;1,5;1,2;0,6
2010-05-13;124,7;1,3;0,6
2010-05-14;0,8;1,4;0,6
2010-05-15;1,4;1,4;0,6
2010-05-16;24,5;1,5;0,6
2010-05-17;2,2;1,5;0,6
2010-05-18;2,1;1,5;0,6
2010-05-19;1,8;1,4;0,6
2010-05-20;0,8;1,3;0,6
2010-05-21;1;1,2;0,6
2010-05-22;0,8;1,1;0,6
2010-05-23;0,5;1;0,6
2010-05-24;7,4;0,9;0,9
2010-05-25;0,7;0,8;0,9
2010-05-26;1,3;0,8;0,9
2010-05-27;0,7;0,8;0,9
2010-05-28;0,7;0,8;0,9
2010-05-29;0,6;0,8;0,9
2010-05-30;26,4;0,8;0,9
2010-05-31;1,5;0,8;1,4
2010-06-01;0,9;0,8;1,4
2010-06-02;0,7;0,7;1,4
2010-06-03;0,4;0,7;1,4
2010-06-04;0,5;0,7;1,4
2010-06-05;0,6;0,8;1,4
2010-06-06;0;0,8;1,4
2010-06-07;1;0,9;0,9
2010-06-08;1;0,9;0,9
2010-06-09;1,7;1;0,9
2010-06-10;0,8;1,1;0,9
2010-06-11;0,9;1,1;0,9
2010-06-12;1,2;1,1;0,9
2010-06-13;1,8;1,1;0,9
2010-06-14;1,6;1,1;0,9
2010-06-15;0,9;1;0,9
2010-06-16;1,2;1;0,9
2010-06-17;0,7;1;0,9
2010-06-18;1,1;1;0,9
2010-06-19;0,3;1;0,9
2010-06-20;10,6;1;0,9
2010-06-21;1;1;1,9
2010-06-22;1,5;1;1,9
2010-06-23;1,2;1;1,9
2010-06-24;1,4;0,9;1,9
2010-06-25;0,5;0,8;1,9
2010-06-26;0,9;0,8;1,9
2010-06-27;33,7;0,7;1,9
2010-06-28;0,7;0,6;1,3
2010-06-29;0,2;0,6;1,3
2010-06-30;0,5;0,6;1,3
2010-07-01;1;0,6;1,3
2010-07-02;0,9;0,6;1,3
2010-07-03;0,5;0,6;1,3
2010-07-04;1,2;0,7;1,3
2010-07-05;0,6;0,7;0,6
2010-07-06;0,7;0,7;0,6
2010-07-07;0,9;0,7;0,6
2010-07-08;0,6;0,7;0,6
2010-07-09;0,6;0,8;0,6
2010-07-10;1;0,8;0,6
2010-07-11;47,3;0,8;0,6
2010-07-12;0,7;0,7;0,3
2010-07-13;1;0,7;0,3
2010-07-14;0;0,7;0,3
2010-07-15;0,5;0,6;0,3
2010-07-16;0,6;0,6;0,3
2010-07-17;0,3;0,5;0,3
2010-07-18;1,1;0,5;0,3
2010-07-19;0,6;0,5;1
2010-07-20;0,4;0,5;1
2010-07-21;0,4;0,5;1
2010-07-22;0,5;0,5;1
2010-07-23;0,7;0,5;1
2010-07-24;0,6;0,5;1
2010-07-25;1,8;0,5;1
2010-07-26;0,5;0,5;0,9
2010-07-27;0,4;0,5;0,9
2010-07-28;0,5;0,6;0,9
2010-07-29;0,4;0,6;0,9
2010-07-30;0,5;0,6;0,9
2010-07-31;1,5;0,7;0,9
2010-08-01;1,5;0,7;0,9
2010-08-02;1,1;0,7;0,6
2010-08-03;0,8;0,7;0,6
2010-08-04;1,3;0,7;0,6
2010-08-05;0,4;0,6;0,6
2010-08-06;0,4;0,6;0,6
2010-08-07;0,3;0,5;0,6
2010-08-08;1,4;0,4;0,6
2010-08-09;0,8;0,4;0,1
2010-08-10;0,2;0,4;0,1
2010-08-11;0,3;0,3;0,1
2010-08-12;0,5;0,4;0,1
2010-08-13;0,2;0,4;0,1
2010-08-14;0,3;0,4;0,1
2010-08-15;2,2;0,5;0,1
2010-08-16;0,6;0,5;0,7
2010-08-17;0,6;0,6;0,7
2010-08-18;0,9;0,6;0,7
2010-08-19;0,8;0,7;0,7
2010-08-20;0,2;0,7;0,7
2010-08-21;1,3;0,7;0,7
2010-08-22;6;0,8;0,7
2010-08-23;0,9;0,8;1,1
2010-08-24;1;0,9;1,1
2010-08-25;0,7;0,9;1,1
2010-08-26;1,2;0,9;1,1
2010-08-27;0,8;0,9;1,1
2010-08-28;1,9;0,9;1,1
2010-08-29;0,2;0,8;1,1
2010-08-30;0,3;0,8;1
2010-08-31;1;0,8;1
2010-09-01;0,7;0,9;1
2010-09-02;1,3;0,9;1
2010-09-03;0,8;1;1
2010-09-04;0,8;1;1
2010-09-05;11,6;1,1;1
2010-09-06;2,8;1,1;1,1
2010-09-07;0,8;1,1;1,1
2010-09-08;0,6;1,2;1,1
2010-09-09;2,4;1,2;1,1
2010-09-10;0,5;1,3;1,1
2010-09-11;1,1;1,4;1,1
2010-09-12;0,1;1,6;1,1
2010-09-13;3,3;1,8;1,1
2010-09-14;1,1;2;1,1
2010-09-15;1,8;2,2;1,1
2010-09-16;5;2,4;1,1
2010-09-17;2,6;2,5;1,1
2010-09-18;2;2,6;1,1
2010-09-19;97,4;2,6;1,1
2010-09-20;1,7;2,7;2
2010-09-21;3,7;2,7;2
2010-09-22;4,5;2,9;2
2010-09-23;1,2;3,1;2
2010-09-24;2,8;3,5;2
2010-09-25;2,4;3,8;2
2010-09-26;261,2;4,2;2
2010-09-27;9,7;4,6;2,7
2010-09-28;5,9;4,9;2,7
2010-09-29;5;5,1;2,7
2010-09-30;2,9;5,1;2,7
2010-10-01;5,7;5;2,7
2010-10-02;4,3;4,7;2,7
2010-10-03;531,6;4,3;2,7
2010-10-04;4,7;4;4,1
2010-10-05;5,8;3,7;4,1
2010-10-06;2,1;3,3;4,1
2010-10-07;3,6;3;4,1
2010-10-08;1,8;2,8;4,1
